Grid_X,Grid_Y,Grid_Z,Range_Index,Time_Delay,Phase_Compensation,Index_Last,Index_Next,Interp_Weight,Data_Last_Real,Data_Last_Imag,Data_Next_Real,Data_Next_Imag,Power_Contrib_Real,Power_Contrib_Imag,Power_Contrib_Magnitude,Power_Contrib_Phase,Total_Power_Real,Total_Power_Imag,Total_Power_Magnitude,Total_Power_Phase
19.88,-0.16,-5.4,1,1.41172990597652e-06,88701.6060293767,85,86,0.703794358590997,76.754932627814,18.6997411024788,14.4762718098714,3.52684219379553,-17.6318497524289,28.9381674434873,33.8865705063161,2.1180215877935,-17.6318497524289,28.9381674434873,33.8865705063161,2.1180215877935
19.88,-0.16,-5.4,2,1.41172382564414e-06,88701.2239908263,85,86,0.70342953864855,63.8859655535259,46.4713180929238,12.0491357431507,8.76466709101611,-17.8714883877739,28.8183099754341,33.9099555740573,2.12589572192113,-35.5033381402027,57.7564774189213,67.7960006411879,2.12196001287757
19.88,-0.16,-5.4,3,1.41171778112579e-06,88700.844202537,85,86,0.703066867547136,41.579815466436,67.1723078788955,7.84211111766779,12.6689523872878,-18.1094777515843,28.6968478172698,33.9332029004436,2.13374265176711,-53.6128158917871,86.4533252361912,101.727633769007,2.12589025719205
19.88,-0.16,-5.4,4,1.41171177242252e-06,88700.4666645765,85,86,0.702706345351345,13.281103726286,77.8756205998491,2.50486660458798,14.6876378177852,-18.3458000032945,28.573812828693,33.9563124813349,2.14156206832152,-71.9586158950816,115.027138064884,135.680819915469,2.12981223007819
19.88,-0.16,-5.4,5,1.41170579953485e-06,88700.0913769756,85,86,0.702347972090791,-16.7897896423661,77.1952263016639,-3.16661809439697,14.5593128690008,-18.5804528622547,28.4492273002587,33.979284314833,2.14935419156567,-90.5390687573363,143.476365365143,169.654915607647,2.13372594690296
19.88,-0.16,-5.4,6,1.41169986246268e-06,88699.7183397294,85,86,0.701991747760687,-44.277830426931,65.4253294426856,-8.35096698631423,12.339465619171,-18.8134136287314,28.3231270061503,34.0021184012446,2.15711851187692,-109.352482386068,171.799492371293,203.649284268394,2.13763131906627
19.88,-0.16,-5.4,7,1.41169396120535e-06,88699.3475527963,85,86,0.701637672321255,-65.3213135257405,44.4311377220066,-12.3198478221813,8.37988132442864,-19.0446732507873,28.1955393471088,34.0248147431196,2.16485498197611,-128.397155636855,199.995031718402,237.663296046485,2.14152829447498
19.88,-0.16,-5.4,8,1.41168809576164e-06,88698.9790160984,85,86,0.701285745698172,-77.077523588777,17.3221060330878,-14.5371136903138,3.26701498743187,-19.274235674353,28.0664830514697,34.0473733452221,2.17256400423824,-147.671391311208,228.061514769872,271.696327415216,2.14541689113889
19.88,-0.16,-5.4,9,1.41168226612971e-06,88698.6127295215,85,86,0.700935967782357,-78.0783075042751,-12.032368730548,-14.7258653377675,-2.2693504416795,-19.5020577809775,27.9360093808833,34.0697942145441,2.18024429128448,-167.173449092185,255.997524150755,305.747762792623,2.14929697014047
19.88,-0.16,-5.4,10,1.41167647230717e-06,88698.2486929151,85,86,0.700588338430094,-68.3767122344167,-39.5679823090814,-12.896107623083,-7.46267174322134,-19.7281608840568,27.8041257167585,34.092077360298,2.18789683628305,-186.901609976242,283.801649867514,339.816992334454,2.15316854272277
